season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
7,99111399,Кидяев Виктор Борисович,1,5,5,4,единая россия,1776,3
7,99111543,Калашников Леонид Иванович,3,2,2,3,кпрф,1776,3
7,99111645,Шубин Игорь Николаевич,2,5,2,3,единая россия,1776,1
7,99111684,Деньгин Вадим Евгеньевич,3,4,2,3,лдпр,1448,2
7,99111704,Скруг Валерий Степанович,2,4,4,4,единая россия,1776,2
7,99111733,Крупенников Владимир Александрович,2,5,3,3,единая россия,1776,3
7,99111774,Абрамов Иван Николаевич,3,3,1,2,лдпр,616,2
7,99111776,Авдеев Михаил Юрьевич,1,3,1,2,кпрф,430,2
7,99111778,Алексеева Татьяна Олеговна,1,5,3,4,единая россия,1776,2
7,99111779,Алимова Ольга Николаевна,3,3,2,3,кпрф,1072,2
7,99111780,Ананских Игорь Александрович,2,3,3,3,справедливая россия,1776,2
7,99111787,Бариев Марат Мансурович,2,5,4,4,единая россия,1776,2
7,99111788,Баталина Ольга Юрьевна,3,5,4,4,единая россия,1241,2
7,99111789,Баталова Рима Акбердиновна,2,5,3,4,единая россия,1776,2
7,99111791,Белоусов Вадим Владимирович,2,3,3,3,справедливая россия,1776,2
7,99111793,Берулава Михаил Николаевич,1,2,1,1,кпрф,859,2
7,99111795,Бифов Анатолий Жамалович,1,1,2,1,кпрф,1776,2
7,99111798,Бортко Владимир Владимирович,4,1,2,3,кпрф,1776,2
7,99111801,Бурматов Владимир Владимирович,4,5,4,5,единая россия,1776,2
7,99111804,Валуев Николай Сергеевич,1,4,2,3,единая россия,1776,2
7,99111809,Выборный Анатолий Борисович,4,5,5,5,единая россия,1776,2
7,99111812,Геккиев Заур Далхатович,1,4,3,3,единая россия,1776,2
7,99111820,Гутенев Владимир Владимирович,4,5,3,4,единая россия,1776,2
7,99111822,Дегтярев Михаил Владимирович,4,2,2,3,лдпр,1384,2
7,99111823,Диденко Алексей Николаевич,5,2,3,4,лдпр,1775,2
7,99111827,Дорохин Павел Сергеевич,3,3,2,3,кпрф,1776,2
7,99111830,Епифанова Ольга Николаевна,3,2,3,3,справедливая россия,1449,2
