season,deputy_id,deputy_name,vist_rank,golos_rank,zakon_rank,allIn_rank,party_name_clean,days,times
6,99110213,Нилов Ярослав Евгеньевич,5,3,3,4,лдпр,1749,2
6,99110214,Обухов Сергей Павлович,3,3,3,4,кпрф,1749,2
6,99110248,Поцяпун Владимир Тимофеевич,2,5,2,3,единая россия,1749,1
6,99110282,Маркелов Михаил Юрьевич,4,5,3,5,единая россия,1749,2
6,99110429,Прокопенко Тимур Валентинович,1,5,1,2,единая россия,54,1
6,99110486,Васильцов Сергей Иванович,1,3,1,2,кпрф,1749,1
6,99110512,Малашенко Виктор Александрович,1,5,3,4,единая россия,734,3
6,99110545,Куликов Олег Анатольевич,2,3,3,3,кпрф,1749,3
6,99110647,Соболев Виктор Васильевич,1,3,1,2,лдпр,1749,1
6,99110908,Амирилаев Адам Баширович,1,5,1,2,единая россия,51,2
6,99110909,Аникеев Григорий Викторович,1,5,3,3,единая россия,1749,2
6,99110910,Антонов Роман Валерьевич,1,5,1,2,единая россия,392,2
6,99110911,Афонин Юрий Вячеславович,3,3,1,3,кпрф,1749,2
6,99110914,Балыхин Григорий Артёмович,1,5,4,4,единая россия,1749,2
6,99110918,Беляков Антон Владимирович,4,3,1,3,справедливая россия,643,2
6,99110921,Богуславский Ирек Борисович,1,5,5,4,единая россия,1749,2
6,99110923,Бочаров Андрей Иванович,1,5,2,3,единая россия,288,2
6,99110925,Бурков Александр Леонидович,2,4,2,3,справедливая россия,1749,2
6,99110927,Валенчук Олег Дорианович,1,5,3,3,единая россия,1749,2
6,99110928,Вахаев Хож Магомед Хумайдович,1,5,3,4,единая россия,1749,2
6,99110929,Водолацкий Виктор Петрович,2,5,5,5,единая россия,1427,2
6,99110931,Волчек Денис Геннадьевич,1,3,3,2,лдпр,1749,2
6,99110932,Вторыгина Елена Андреевна,1,5,4,4,единая россия,1280,2
6,99110933,Вяткин Дмитрий Федорович,5,5,4,5,единая россия,1749,2
6,99110934,Гаврилов Сергей Анатольевич,4,3,3,4,кпрф,1749,2
6,99110936,Гасанов Джамаладин Набиевич,1,1,2,1,справедливая россия,1749,2
6,99110937,Герасимова Надежда Васильевна,4,5,4,5,единая россия,1749,2
6,99110939,Глубоковская Эльмира Гусейновна,3,5,2,4,единая россия,1749,2
